File,Total Time (minutes),Coding,Debugging,Testing,FC Flow Complexity,OV Object Vocabulary,OC Object Conjuration,AI Arithmetic Intricacy,DT Data Transfer,CM Comments,CS Code Structure,ID Inline Data,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\UnmarshalDemo.java,150,136,12,2,0,115,14,0,10,0,9,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\XMLValidation.java,195,174,17,3,13,129,20,2,11,0,14,1,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\run\Journal.java,418,368,40,8,71,208,62,8,23,6,37,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\run\JournalSave.java,168,150,14,3,10,111,22,0,10,0,13,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\run\Pattern.java,715,627,71,16,131,337,113,11,52,6,59,4,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\run\PatternTest.java,224,202,17,4,0,152,32,0,18,0,17,3,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\run\Predictor.java,975,860,94,20,140,434,207,25,61,14,87,4,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\run\Propagation.java,515,458,46,10,76,263,91,0,36,4,36,6,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\run\QuickAndDirt.java,602,536,53,12,76,309,112,0,47,4,42,9,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\run\Sandbox.java,587,522,52,11,73,314,92,14,43,4,39,6,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\run\Sandbox2.java,888,786,83,19,151,425,163,2,65,8,65,7,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\run\Sandbox3.java,789,697,75,17,148,365,134,8,59,7,57,7,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\run\Setting.java,166,150,12,2,0,124,26,0,1,6,7,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\utility\LocalDateAdapter.java,68,60,6,1,3,46,8,0,2,0,7,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\utility\MapAdapter.java,263,229,28,5,52,124,43,5,18,0,17,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\utility\Network.java,476,421,44,10,76,273,55,0,26,4,38,2,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\utility\NetworkProperty.java,80,72,6,1,0,60,12,0,1,0,6,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\utility\NetworkPropertyList.java,231,204,22,4,41,134,22,0,11,0,19,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\utility\NetworkPropertyListTest.java,61,55,4,1,0,46,4,0,2,0,6,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\utility\NetworkTest.java,136,123,10,2,0,101,15,0,7,0,11,1,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\utility\Property.java,93,83,8,1,12,55,10,0,4,1,10,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\utility\PropertyTest.java,102,93,8,1,0,74,12,0,5,0,9,1,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\utility\SQL.java,2623,2285,277,61,645,615,612,257,196,31,204,61,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\utility\SQLTest.java,179,162,14,3,0,129,21,0,11,0,12,4,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\utility\XML.java,348,310,32,6,37,222,40,2,18,1,26,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\utility\XMLTest.java,211,191,16,3,0,134,38,0,17,0,17,4,

Entire Project Time,=SUM(B2:B43),=SUM(C2:C43),=SUM(D2:D43),=SUM(E2:E43),=SUM(F2:F43),=SUM(G2:G43),=SUM(H2:H43),=SUM(I2:I43),=SUM(J2:J43),=SUM(K2:K43),=SUM(L2:L43),=SUM(M2:M43),
